Test, Algo, Pass, NodesExp, Shortest 
100, Astar, passed,53,13
100, Greedy, passed,13,13
100, BFS, passed,63,13
100, DFS, passed,15,15
100, BI-DIR, passed,7,0
100, MBAstar, passed,27,0
99, Astar, passed,53,13
99, Greedy, passed,13,13
99, BFS, passed,63,13
99, DFS, passed,15,15
99, BI-DIR, passed,7,0
99, MBAstar, passed,27,0
98, Astar, passed,53,13
98, Greedy, passed,13,13
98, BFS, passed,63,13
98, DFS, passed,15,15
98, BI-DIR, passed,7,0
98, MBAstar, passed,27,0
97, Astar, passed,53,13
97, Greedy, passed,13,13
97, BFS, passed,63,13
97, DFS, passed,15,15
97, BI-DIR, passed,7,0
97, MBAstar, passed,27,0
96, Astar, passed,53,13
96, Greedy, passed,13,13
96, BFS, passed,63,13
96, DFS, passed,15,15
96, BI-DIR, passed,7,0
96, MBAstar, passed,27,0
95, Astar, passed,53,13
95, Greedy, passed,13,13
95, BFS, passed,63,13
95, DFS, passed,15,15
95, BI-DIR, passed,7,0
95, MBAstar, passed,27,0
94, Astar, passed,53,13
94, Greedy, passed,13,13
94, BFS, passed,63,13
94, DFS, passed,15,15
94, BI-DIR, passed,7,0
94, MBAstar, passed,27,0
93, Astar, passed,53,13
93, Greedy, passed,13,13
93, BFS, passed,63,13
93, DFS, passed,15,15
93, BI-DIR, passed,7,0
93, MBAstar, passed,27,0
92, Astar, passed,53,13
92, Greedy, passed,13,13
92, BFS, passed,63,13
92, DFS, passed,15,15
92, BI-DIR, passed,7,0
92, MBAstar, passed,27,0
91, Astar, passed,53,13
91, Greedy, passed,13,13
91, BFS, passed,63,13
91, DFS, passed,15,15
91, BI-DIR, passed,7,0
91, MBAstar, passed,27,0
90, Astar, passed,53,13
90, Greedy, passed,13,13
90, BFS, passed,63,13
90, DFS, passed,15,15
90, BI-DIR, passed,7,0
90, MBAstar, passed,27,0
89, Astar, passed,53,13
89, Greedy, passed,13,13
89, BFS, passed,63,13
89, DFS, passed,15,15
89, BI-DIR, passed,7,0
89, MBAstar, passed,27,0
88, Astar, passed,53,13
88, Greedy, passed,13,13
88, BFS, passed,63,13
88, DFS, passed,15,15
88, BI-DIR, passed,7,0
88, MBAstar, passed,27,0
87, Astar, passed,53,13
87, Greedy, passed,13,13
87, BFS, passed,63,13
87, DFS, passed,15,15
87, BI-DIR, passed,7,0
87, MBAstar, passed,27,0
86, Astar, passed,53,13
86, Greedy, passed,13,13
86, BFS, passed,63,13
86, DFS, passed,15,15
86, BI-DIR, passed,7,0
86, MBAstar, passed,27,0
85, Astar, passed,53,13
85, Greedy, passed,13,13
85, BFS, passed,63,13
85, DFS, passed,15,15
85, BI-DIR, passed,7,0
85, MBAstar, passed,27,0
84, Astar, passed,53,13
84, Greedy, passed,13,13
84, BFS, passed,63,13
84, DFS, passed,15,15
84, BI-DIR, passed,7,0
84, MBAstar, passed,27,0
83, Astar, passed,53,13
83, Greedy, passed,13,13
83, BFS, passed,63,13
83, DFS, passed,15,15
83, BI-DIR, passed,7,0
83, MBAstar, passed,27,0
82, Astar, passed,53,13
82, Greedy, passed,13,13
82, BFS, passed,63,13
82, DFS, passed,15,15
82, BI-DIR, passed,7,0
82, MBAstar, passed,27,0
81, Astar, passed,79,15
81, Greedy, passed,15,15
81, BFS, passed,86,15
81, DFS, passed,17,17
81, BI-DIR, passed,6,0
81, MBAstar, passed,37,0
80, Astar, passed,79,15
80, Greedy, passed,15,15
80, BFS, passed,86,15
80, DFS, passed,17,17
80, BI-DIR, passed,6,0
80, MBAstar, passed,37,0
79, Astar, passed,79,15
79, Greedy, passed,15,15
79, BFS, passed,86,15
79, DFS, passed,17,17
79, BI-DIR, passed,6,0
79, MBAstar, passed,37,0
78, Astar, passed,79,15
78, Greedy, passed,15,15
78, BFS, passed,86,15
78, DFS, passed,17,17
78, BI-DIR, passed,6,0
78, MBAstar, passed,37,0
77, Astar, passed,79,15
77, Greedy, passed,15,15
77, BFS, passed,86,15
77, DFS, passed,17,17
77, BI-DIR, passed,6,0
77, MBAstar, passed,37,0
76, Astar, passed,79,15
76, Greedy, passed,15,15
76, BFS, passed,86,15
76, DFS, passed,17,17
