Test, Algo, NodesExp, Shortest , Pass,,,,,,
1, Astar,40,7, passed,,,,,,
2, Astar,40,7, passed,,,,,,
3, Astar,40,7, passed,,,,Algorithm,Searched,Best Path
4, Astar,40,7, passed,,,mean,A*,76.43,13.74
5, Astar,40,7, passed,,,mean,BFS,93.05,13.74
6, Astar,40,7, passed,,,mean,DFS,20.14,20.14
7, Astar,40,7, passed,,,mean,Greedy,13.74,13.74
8, Astar,40,7, passed,,,mean,MBA*,35.07,0
9, Astar,40,7, passed,,,,,,
10, Astar,40,7, passed,,,,,,
11, Astar,40,7, passed,,,,,,
12, Astar,40,7, passed,,,,,,
13, Astar,40,7, passed,,,,,,
14, Astar,40,7, passed,,,mean,Bi-dir,7.79,
15, Astar,40,7, passed,,,,,,
16, Astar,40,7, passed,,,,,,
17, Astar,40,7, passed,,,,,,
18, Astar,40,7, passed,,,,,,
19, Astar,40,7, passed,,,,,,
20, Astar,40,7, passed,,,,,,
21, Astar,40,7, passed,,,,,,
22, Astar,34,7, passed,,,,,,
23, Astar,34,7, passed,,,,,,
24, Astar,34,7, passed,,,,,,
25, Astar,34,7, passed,,,,,,
26, Astar,34,7, passed,,,,,,
27, Astar,34,7, passed,,,,,,
28, Astar,34,7, passed,,,,,,
29, Astar,34,7, passed,,,,,,
30, Astar,34,7, passed,,,,,,
31, Astar,34,7, passed,,,,,,
32, Astar,34,7, passed,,,,,,
33, Astar,34,7, passed,,,,,,
34, Astar,34,7, passed,,,,,,
35, Astar,34,7, passed,,,,,,
36, Astar,34,7, passed,,,,,,
37, Astar,34,7, passed,,,,,,
38, Astar,34,7, passed,,,,,,
39, Astar,34,7, passed,,,,,,
40, Astar,34,7, passed,,,,,,
41, Astar,34,7, passed,,,,,,
42, Astar,202,27, passed,,,,,,
43, Astar,202,27, passed,,,,,,
44, Astar,202,27, passed,,,,,,
45, Astar,202,27, passed,,,,,,
46, Astar,202,27, passed,,,,,,
47, Astar,202,27, passed,,,,,,
48, Astar,202,27, passed,,,,,,
49, Astar,202,27, passed,,,,,,
50, Astar,202,27, passed,,,,,,
51, Astar,202,27, passed,,,,,,
52, Astar,202,27, passed,,,,,,
53, Astar,146,27, passed,,,,,,
54, Astar,146,27, passed,,,,,,
55, Astar,146,27, passed,,,,,,
56, Astar,146,27, passed,,,,,,
57, Astar,146,27, passed,,,,,,
58, Astar,146,27, passed,,,,,,
59, Astar,146,27, passed,,,,,,
60, Astar,146,27, passed,,,,,,
61, Astar,146,27, passed,,,,,,
62, Astar,79,15, passed,,,,,,
63, Astar,79,15, passed,,,,,,
64, Astar,79,15, passed,,,,,,
65, Astar,79,15, passed,,,,,,
66, Astar,79,15, passed,,,,,,
67, Astar,79,15, passed,,,,,,
68, Astar,79,15, passed,,,,,,
69, Astar,79,15, passed,,,,,,
70, Astar,79,15, passed,,,,,,
71, Astar,79,15, passed,,,,,,
72, Astar,79,15, passed,,,,,,
73, Astar,79,15, passed,,,,,,
74, Astar,79,15, passed,,,,,,
75, Astar,79,15, passed,,,,,,
76, Astar,79,15, passed,,,,,,
77, Astar,79,15, passed,,,,,,
78, Astar,79,15, passed,,,,,,
79, Astar,79,15, passed,,,,,,
80, Astar,79,15, passed,,,,,,
81, Astar,79,15, passed,,,,,,
82, Astar,53,13, passed,,,,,,
83, Astar,53,13, passed,,,,,,
84, Astar,53,13, passed,,,,,,
85, Astar,53,13, passed,,,,,,
86, Astar,53,13, passed,,,,,,
87, Astar,53,13, passed,,,,,,
88, Astar,53,13, passed,,,,,,
89, Astar,53,13, passed,,,,,,
90, Astar,53,13, passed,,,,,,
91, Astar,53,13, passed,,,,,,
92, Astar,53,13, passed,,,,,,
93, Astar,53,13, passed,,,,,,
94, Astar,53,13, passed,,,,,,
95, Astar,53,13, passed,,,,,,
96, Astar,53,13, passed,,,,,,
97, Astar,53,13, passed,,,,,,
98, Astar,53,13, passed,,,,,,
99, Astar,53,13, passed,,,,,,
