Test, Algo, Pass, NodesExp, Shortest 
100, Astar, passed, 70, 12
100, Greedy, passed, 14, 12
100, BFS, passed, 78, 12
100, DFS, passed, 12, 12
100, BI-DIR, passed, 7, 0
100, MBAstar, passed, 35, 0
99, Astar, passed, 70, 12
99, Greedy, passed, 14, 12
99, BFS, passed, 78, 12
99, DFS, passed, 12, 12
99, BI-DIR, passed, 7, 0
99, MBAstar, passed, 35, 0
98, Astar, passed, 70, 12
98, Greedy, passed, 14, 12
98, BFS, passed, 78, 12
98, DFS, passed, 12, 12
98, BI-DIR, passed, 7, 0
98, MBAstar, passed, 35, 0
97, Astar, passed, 70, 12
97, Greedy, passed, 14, 12
97, BFS, passed, 78, 12
97, DFS, passed, 12, 12
97, BI-DIR, passed, 7, 0
97, MBAstar, passed, 35, 0
96, Astar, passed, 70, 12
96, Greedy, passed, 14, 12
96, BFS, passed, 78, 12
96, DFS, passed, 12, 12
96, BI-DIR, passed, 7, 0
96, MBAstar, passed, 35, 0
95, Astar, passed, 70, 12
95, Greedy, passed, 14, 12
95, BFS, passed, 78, 12
95, DFS, passed, 12, 12
95, BI-DIR, passed, 7, 0
95, MBAstar, passed, 35, 0
94, Astar, passed, 70, 12
94, Greedy, passed, 14, 12
94, BFS, passed, 78, 12
94, DFS, passed, 12, 12
94, BI-DIR, passed, 7, 0
94, MBAstar, passed, 35, 0
93, Astar, passed, 70, 12
93, Greedy, passed, 14, 12
93, BFS, passed, 78, 12
93, DFS, passed, 12, 12
93, BI-DIR, passed, 7, 0
93, MBAstar, passed, 35, 0
92, Astar, passed, 70, 12
92, Greedy, passed, 14, 12
92, BFS, passed, 78, 12
92, DFS, passed, 12, 12
92, BI-DIR, passed, 7, 0
92, MBAstar, passed, 35, 0
91, Astar, passed, 70, 12
91, Greedy, passed, 14, 12
91, BFS, passed, 78, 12
91, DFS, passed, 12, 12
91, BI-DIR, passed, 7, 0
91, MBAstar, passed, 35, 0
90, Astar, passed, 70, 12
90, Greedy, passed, 14, 12
90, BFS, passed, 78, 12
90, DFS, passed, 12, 12
90, BI-DIR, passed, 7, 0
90, MBAstar, passed, 35, 0
89, Astar, passed, 70, 12
89, Greedy, passed, 14, 12
89, BFS, passed, 78, 12
89, DFS, passed, 12, 12
89, BI-DIR, passed, 7, 0
89, MBAstar, passed, 35, 0
88, Astar, passed, 70, 12
88, Greedy, passed, 14, 12
88, BFS, passed, 78, 12
88, DFS, passed, 12, 12
88, BI-DIR, passed, 7, 0
88, MBAstar, passed, 35, 0
87, Astar, passed, 70, 12
87, Greedy, passed, 14, 12
87, BFS, passed, 78, 12
87, DFS, passed, 12, 12
87, BI-DIR, passed, 7, 0
87, MBAstar, passed, 35, 0
86, Astar, passed, 70, 12
86, Greedy, passed, 14, 12
86, BFS, passed, 78, 12
86, DFS, passed, 12, 12
86, BI-DIR, passed, 7, 0
86, MBAstar, passed, 35, 0
85, Astar, passed, 70, 12
85, Greedy, passed, 14, 12
85, BFS, passed, 78, 12
85, DFS, passed, 12, 12
85, BI-DIR, passed, 7, 0
85, MBAstar, passed, 35, 0
84, Astar, passed, 70, 12
84, Greedy, passed, 14, 12
84, BFS, passed, 78, 12
84, DFS, passed, 12, 12
84, BI-DIR, passed, 7, 0
84, MBAstar, passed, 35, 0
83, Astar, passed, 70, 12
83, Greedy, passed, 14, 12
83, BFS, passed, 78, 12
83, DFS, passed, 12, 12
83, BI-DIR, passed, 7, 0
83, MBAstar, passed, 35, 0
82, Astar, passed, 70, 12
82, Greedy, passed, 14, 12
82, BFS, passed, 78, 12
82, DFS, passed, 12, 12
82, BI-DIR, passed, 7, 0
82, MBAstar, passed, 35, 0
81, Astar, passed, 75, 14
81, Greedy, passed, 15, 14
81, BFS, passed, 96, 14
81, DFS, passed, 14, 14
81, BI-DIR, passed, 10, 0
81, MBAstar, passed, 41, 0
80, Astar, passed, 75, 14
80, Greedy, passed, 15, 14
80, BFS, passed, 96, 14
80, DFS, passed, 14, 14
80, BI-DIR, passed, 10, 0
80, MBAstar, passed, 41, 0
79, Astar, passed, 75, 14
79, Greedy, passed, 15, 14
79, BFS, passed, 96, 14
79, DFS, passed, 14, 14
79, BI-DIR, passed, 10, 0
79, MBAstar, passed, 41, 0
78, Astar, passed, 75, 14
78, Greedy, passed, 15, 14
78, BFS, passed, 96, 14
78, DFS, passed, 14, 14
78, BI-DIR, passed, 10, 0
78, MBAstar, passed, 41, 0
77, Astar, passed, 75, 14
77, Greedy, passed, 15, 14
77, BFS, passed, 96, 14
77, DFS, passed, 14, 14
77, BI-DIR, passed, 10, 0
77, MBAstar, passed, 41, 0
76, Astar, passed, 75, 14
76, Greedy, passed, 15, 14
76, BFS, passed, 96, 14
76, DFS, passed, 14, 14
76, BI-DIR, passed, 10, 0
76, MBAstar, passed, 41, 0
75, Astar, passed, 75, 14
75, Greedy, passed, 15, 14
75, BFS, passed, 96, 14
75, DFS, passed, 14, 14
75, BI-DIR, passed, 10, 0
75, MBAstar, passed, 41, 0
74, Astar, passed, 75, 14
74, Greedy, passed, 15, 14
74, BFS, passed, 96, 14
74, DFS, passed, 14, 14
74, BI-DIR, passed, 10, 0
74, MBAstar, passed, 41, 0
73, Astar, passed, 75, 14
73, Greedy, passed, 15, 14
